starts off with a length ball just outside off that is pushed back to the bowler off the front foot
on a length again but angled in to the left-hander and Hughes pushes it off the front foot just wide of mid-on for a very quick single
backs away to make room and finds cover on the cut shot
backs away to make room and chips this just over extra cover who runs back and across a couple of steps and stretches out his right hand but cannot get to it. Close
"very full and outside off, squeezed out to backward point"
flat legbreak that spins back in sharply and Munro was backing away looking to slap it through the off-side. No way there was enough room to do that and he pays the price for the wrong selection of shot. Misses the ball completely and it crashes into the stumps
"tossed up and pitched up on leg, clipped away to mid-on"
"flighted outside off, drags it from outside off to long-on"
comes forward to this fullish length ball and turns it away to midwicket
"fuller ball on the stumps, pushed quietly off the front foot straight back to the bowler who gathers it on the follow-through"
"short ball, pulls it with soft hands to deep backward square leg"
"short of a length outside off, jumps up to ride the bounce before steering it down to square third man"
"good length on the stumps, blocked to the right of the bowler and Watson dives to his right and gets a hand to it"
"full toss on the stumps, tries to flick it away and skews it off the inside edge towards fine leg"
"fuller ball on the fourth-stump channel, comes forward and pushes it into covers.Abbott blindly sets off for the single but it is not there for the taking and he is promptly sent back. Makes it back in time"
"tossed up full ball, driven down to long-on"
backs away to this back of a length ball and steers it to sweeper cover
swept straight into the hands of Carlos Brathwaite. It was nicely flighted and Abbott got down to sweep and picks out wide mid-on. Fourth wicket for Fawad
comes forward to push this fullish length ball and gets it off the outside edge towards backward point
"flighted on leg stump, closes the bat face early as he looks to flick it to the leg side and chips it over the bowler who leaps with his right hand outstretched but cannot get to it"
"beats the outside edge to end a fabulous spell. Shifts back in the crease and sticks his bat to this short of a length ball. He is nowhere near it, stuck his bat out from very wide of the crease and the ball spins past the outside edge"
"good length ball, angling in from outside off, chops the defence to the pad"
straight through. Pays the price for playing across the line. It was a length ball and straight as an arrow. Misses the flick as he closes the face of his bat just a tad early and the ball crashes into the middle stump
"near-yorker on leg, jams the bat down and works it behind square to fine leg"
"good length ball, comes forward and chops the forward defence to point. Wants the single and is sent back"
"good length ball, jumps up and tucks it to deep backward square leg"
"fuller ball, clipped away and straight to midwicket"
stays in the crease and opens the face of his bat to this length ball that is angled across. Absolutely no feet and he gets beaten
"good length ball on the leg stump channel, tries to flick it away but wears it on the pad and they can get a comfortable single"
"fuller ball, presses forward and opens the face of his bat to steer it to square third man"
"fullish length ball, gets an inside-edge to the pad and the ball rolls away into the leg side as they jog across for the single"
"good length, shuffles across and tucks it away wide of mid-on for a quick single. Throw fired at the non-striker's end and it misses the stumps. but he might have made it in any case"
"fuller ball, comes forward and pushes it to mid-off. This time it is a lot straighter to the fielder but they still take off for the single and hare across for it"
"slower short of a length ball that is angled away, tries to open the bat face and run it down to third man but gets beaten"
"short ball, gets up sharply outside off and Dwarshuis jumps up before slapping it uppishly square of the wicket"
"fuller ball outside off, comes forward and drives firmly but straight to mid-off"
"short ball, tries to pull and it bounces more than he would have liked, so he cannot make very good connection and gets it on the bounce towards deep backward square leg"
"full toss, angled across outside off and driven to long-off for an easy single"
"good length outside off, waits in the crease and opens the bat face to steer it to backward point"
nudged away behind square on the leg side
"fullish outside off, comes forward and pushes it straight to the bowler"
bowls it a tad slower and gets it to turn away outside off and Swarshuis slaps it off the backfoot square of the wicket
"pitched up on middle, turned away off the pads to deep midwicket"
fires it full and on the leg stump channel and Dwarshuis drills it through mid-on
turns it away behind square for an easy single. Three overs left. Can they bat it out?
"short of a length ball that is sprayed down the leg side, tries to swivel around and pull but misses"
"good length ball, punches it off the front foot towards mid-off"
"short of a length outside off, chops the cut to point. Lyon wants the single and comes haring down. He is sent back and manages to make it back in time"
slower good length ball that is angled away from the leg stump channel. Dwarshuis backs away and tries to open his bat face but cannot make contact
"back of a length, not much pace again and he waits for it before pulling it into the deep midwicket region"
Brathwaite's dabs are back. This one really seemed like a good hit that would go the distance but it goes straight to the fielder at deep square leg. It was a good length ball and Lyon swipes hard as he pulls it. The ball goes a long way up in the air and he seems to have got good distance on it as well. But guess what? Kurtis Patterson does not have to move an inch as he snaffles it at deep square leg
"fuller ball, gets it wide of midwicket for a single"
"fuller ball outside off, driven to long-off"
"fuller outside off, works it with an open bat face to point and they scamper across for a very quick single"
"slower short of good length ball, pulled wide of midwicket"
tries to push this length ball through the off side and skews it to backward square leg off the inside edge
"swing and a miss. Fuller outside off, but there is not enough pace on that delivery. Bird does not pick the drop in pace and gets beaten"
"short of a length ball, does not bounce as much as he expects it to and he gets a bottom edge on the pull shot as the ball goes to the wicketkeeper"
"full and wide, fires it just outside the line and it is called a wide"
"yorker outside off, jams the bat down and carves it out to sweeper cover"
walks across early to this short ball but there is absolutely no pace on it - it is fired just at 114kph. He misses the pull shot and the ball goes to the wicketkeeper and it is not called a wide. Good call as it went over the shoulder of the batsman
backs away and swipes across the line as he looks to go big over the leg side. Misses and takes off a couple of steps as he looks for a bye and is sent back. The wicketkeeper fires a throw and misses the stumps. But direct hit and he could have been gone
"comes down the track to slog and makes no contact as the ball goes to the wicketkeeper. He fires a throw at the striker's end and takes the bails off even as the batsman makes his way back. He could be run out here and they go upstairs. The throw is fired and the batsman is outside the crease, but giess what? The bails take forever to come off. The ball brushes the stumps and goes a further couple of feet away before the bails finally come off by which time the batsman makes his way back. Bizarre!"
"very full ball, swipes hard and gets an inside edge as the ball goes away to midwicket"
"very full ball, drills it wide of long-on and they scamper back for the second"
"fuller ball, presses forward and pushes it to cover-point"
"fuller ball, tries to push it without feet and gets a thick outside edge to third man"
"good length ball, gets it to shape away from the right-hander and VInce, who was advancing down the track, is forced to let it go to the keeper"
"back of a length ball, gets good bounce, 132 clicks, punched off the backfoot into the covers region"
"full and swinging away, goes after it as swings wildly and gets beaten"
"fuller ball, pretty straight and good response from the batsman. Pushes it gently down the track and gets it past mid-on for a boundary"
"flighted outside off, crunched to the off side"
"on a length on leg stump channel and not much turn, dabs it with soft hands towards mid-on"
"short ball and Patterson backs away to give himself room outside leg stump and slaps it past the diving extra cover fielder as the ball races away to the boundary, comfortably beating the fielder giving it a chase"
drops his pace and bowls it full as Patterson comes down the track and works it to long-on
tries to carve this through the off side and gets a thick outside edge as the ball runs away towards the third man region where it is pulled back before the boundary
"short of a length ball, backs away and crunches a cut shot as the ball beats the two fielders giving it a chase from the cover region and into the boundary"
"full and angling in, clipped off the toes through midwicket and Lumb gives it a chase, slides in and pulls it back before the boundary"
"fullish ball outside off, drills it down the ground and mid-off dives to his left to cut it off"
throws his hands at this length ball outside off and gets an outside edge to third man
"good length ball, shuffles across and pushes it straight down the ground and hustles for the single"
"full and outside off, reaches out for it without moving his feet much but times the drive beautifully as he beats the diving extra cover fielder"
"full and outside off, harmless half-volley outside off and it is lofted clean over extra cover. The ball lands after just crossing the boundary"
"short of a length ball, tries to pull and does not make contact as the ball does not bounce as much. The awkward bounce means it misses the keeper as well"
"slower short of a length ball at 119 clicks, throws his hands at it trying to crunch it through the off side and does not make contact"
"full and attacking the stumps, defends it quietly back to the bowler"
"short of a length outside off, whips it to mid-on"
presses forward and neatly drives this out to sweeper cover
"short ball, fetches the pull from outside off and sends it straight to deep square leg"
pushed across to the right-hander on a fullish length from around the wicket. Too easy for Vince who lofts it over long-off after making room for himself
"pushed through quicker, tucked off the pads to short fine leg"
backs away a long way and drills this length ball to the left of the bowler
tucked to square leg and they jog the single
"shorter in length and Patterson stands firm on the front foot, gets on top of the bounce and whips it powerfully with a flat bat through mid-off. Too easy for Thunder"
and they are really cruising. Comes down the track to get on top of the bounce and lofts it over mid-off as the ball goes on the bounce over the boundary
gets a top edge on the attempted pull. It is shorter in length but comes on to him quickly. Gets a bit hurried and skews it to short fine leg where Bird settles under it and snaffles it reverse-cupped
"fuller ball on the stumps, pushed off the front foot straight down the pitch"
"short of a length, tucked off the pads to deep square leg"
"fuller ball outside off, wide half-volley and Watson dismisses it through covers. Gets down on one knee as he crunches the drive and lovely follow-through of the bat"
goes for an ill-advised cross-batted slap to a ball that is not as short. Does not get up much as a result and he gets beaten
"short ball, Watson swivels around and pulls and does not really get hold of it. Doesn't get the required distance and Botha at deep square leg runs forward and slides to take the catch"
"short and wide, cut off the backfoot square of the wicket"
not as wide outside off this time so he chops this shot to point
"sliding in on leg after being tossed up, pushed along the ground to long-on"
<b>dropped.</b> Comes down the track to this length ball but it spins away and bounces sharply. Gets an outside edge and it is a very hard take for the keeper as it creeps up awkwardly. Goes over the leaping slip fielder as well
"flighted outside off, driven through extra cover"
tucked behind square
"short of a length, pitching outside leg, tucked off the pads to deep midwicket"
"good length outside off, gets a good stride forward and punches it out to sweeper cover"
"short of a length outside off, shuffles across and pushes off the backfoot to extra cover. Sends the non-striker back as he was looking for a single"
"short ball, keeps the pull down to deep midwicket and the fielder at deep backward square leg runs across and picks it up"
"length ball, tries to flick it away but does so early and wears it on the pad. Pitching outside leg and would have missed leg stump as well"
"fuller ball, sprayed down the leg side and makes good contact on the glance and the ball goes away to the fine leg fence"
"short of a length ball, pulled to deep midwicket"
"short of a length, turned away to deep backward square leg"
"bouncer, Rohrer makes no contact on the hook and it is too high, so called a wide"
"back of a length, jumps back and turns it away into the midwicket region"
"good length outside off, strides forward and drops it in front of cover"
drags the length back as he looks to adjust and Rohrer pulls it fine for a brace
"full ball, gets an inside edge towards square leg as he tries to drill it"
"yorker, angling in on off, squeezed out towards backward point"
"length ball outside off, drags it from outside off and swipes hard as the ball goes on the bounce over the cow corner boundary"
swipes across the line to this straight ball and makes no contact. The ball misses the stumps and the bowler reacts with a wry smile
"harmless half-volley on the stumps, slower in pace but he picks it up early and whacks it over wide long-on. Lofts it well and clean over the boundary. Went high and gets good distance on it as well"
turns it away to deep backward square leg for a brace
"short ball, fetches the pull from outside off and lays into it as the ball screams past the deep square leg boundary"
