"length ball, not much of movement, as Imam lets it go"
"length ball, a hint of away swing, and Imam comes forward and defends"
"drifts down the leg side, and allows him to glance down to fine leg"
"outside off and angles away off a good length, and he shoulders arms to it"
"angles across, pitched up, and he lets it pass without playing at it"
"length ball, and straightens into Sohail, who presses forward and defends it"
"looks to angle it across the left-hander, but pitches it far too wide outside off. Sohail watches it through"
""
comes forward to a length ball and defends it
"length ball, and outside off. He lets this pass. Is de Grandhomme just tiring out a touch?"
"length ball, angles across Sohail, and moves prodigously after leaving the batsman. Some 'oohs' and 'aahs' from behind the wicket, as the batsman shoulders arms"
"pitched up, and straightens into him. Good shot by Azhar in response, though, as he drives it through the mid-on region"
"pitching on a length, and straightening again into Azhar, who goes back and defends this"
"<strong>OUTSIDE EDGE!</strong> Angles across Azhar, but he does well to take his bottom hand off. It goes along the ground, and moves beyond the second slip, and bounces away towards gully"
"fuller ball, and Sohail gets behind the line of this straighter ball and plays it down to the onside"
"length ball, outside off, and draws him into a drive. Sohail plays it from the crease, but plays it away defensively through the offside"
"short ball, and on off stump, as Sohail ducks into it. Some decent bounce on this, but nothing to worry batsmen on either side. <em>The pitch, by and large, is low and slow</em>."
"straight ball, angling into Azhar, who goes back and flicks it on the onside"
"pitched up, and hits him on the pads. There's a half-hearted appeal for LBW, but the angle was taking it down the leg side"
"length ball, outside off, and tempts Azhar into pressing forward and dropping it with a dead bat"
"fuller, and outside off stump again. This time Azhar comes forward and looks to drive, but cannot hit it with much conviction, as the bat turns in his hands"
"outside off stump, and goes on straight, as Azhar prefers to shoulder arms to this one"
"pitched on off, and he comes forward and defends."
"length at leg stump, flicked into the leg side"
"full and dipping into off stump, blocked solidly on the front foot"
"bouncer at an off stump line, makes him duck hurriedly"
full and shaping away late just outside off. Gets him playing at this on the initial angle and then reaching out with the late swing. It's poked into the covers
"length ball shaping away outside off, left alone"
"full outside off, punches it on the up to mid-off's right. Boult slides across and just gets a hand on it"
"full on off stump, defended solidly on the front foot"
"full at off stump, dead-batted on the front foot"
"overpitched outswinger, just outside off. Nice stride forward to carve this to cover's left"
"length ball wide outside off, left alone"
"overpitched outswinger, wider outside off this time and nearly sucks him into driving. But Azhar refuses, lets it go"
"length outside off, left alone"
"full at off stump, defended down the pitch off the front foot"
<b>past the outside edge.</b> He's toying with Haris with that angle in now. This one straightens off the surface as he looks to defend in front of off stump
"<b>outswinger</b> now and he gets him to play away from the body. This is very very good Test bowling. Again with the angle inwards, but swings it away late. Haris losing his shape quite a bit against him"
<b>lovely shot.</b> But it is straight into the stumps at the other end. Overpitched straight ball. He shuffles and drives firmly with the full face offered
"bouncer down leg side, ducks to let it go"
full and dipping in at off stump. Shuffles and defends hurriedly out to mid-off
length and slanting across the corridor. Left alone
"overpitched just outside off, stabbed to mid-off with the outside half"
"short of a length and wide outside off, left alone"
"length ball pushed across off stump, left alone"
"length ball just outside off, left alone"
"short of a length just outside off, defended into the covers"
"length on middle stump, defended to mid-on on the up"
"length at middle stump, tapped to mid-on off the back foot"
"short of a length in at off stump, defended off the back foot"
"short ball on leg stump, forced to duck and let it go"
"length and in at off stump, looks to defend from the crease. Barely gets the outside half on this"
"length on off stump, hangs the bat out and this flies off the thick inside edge through square leg"
<b>leading edge</b> as Boult brings one in to off stump. Length ball has him closing the face on the angle
"length and in at leg stump, pushed uppishly to midwicket"
"bouncer at middle stump, ducks under it"
"short of a length on off stump, defended off the back foot"
"length and just outside off, defended to cover"
"short of a length at middle stump, nicely tucked off the hips to square leg's left"
"short of a length and in at leg stump, tapped to short midwicket off the back foot"
"length on middle stump, pushed with the turn to midwicket"
"full outside of, blocked into the covers"
"full outside off, flicked to short midwicket"
"length ball outside off, left alone"
"full on off stump, pokes with hard hands and gets a thick inside edge past short midwicket"
"length at off stump, defended down the pitch"
"<b>thick edge</b> between second slip and gully. Once again, he's driving inside the line of a ball angled in as it straightens"
"length at off stump, defended into the covers"
"<b>beaten.</b> Length ball in the corridor and he has a swish at it without moving his feet. Completely locked down, physically and mentally at the moment"
<b>outside edge</b> again as he chases an outswinger away from his body. Opens the face at the last moment and it is in that gap in the cordon again
"<b>falls short of midwicket.</b> Full and in at leg stump, flicked hurriedly with the front leg locked tightly across but not too far forward"
"length just outside off, blocked on the front foot"
"full outside off, gets low and paddles it fine with a big stride"
"short and just outside off, backs away and stabs it past slip off the thick outside edge"
"tossed up at off stump, driven with the turn to cover"
"well placed. That's good from Azhar. Short ball lifting up outside off, and he backs away and steers this cut wide of cover"
"full on middle stump, driven back down the pitch"
"length ball just outside off, pushes at it and misses"
"length outside off, defended solidly on the front foot"
"short ball wide outside off, left alone"
"full on off stump, tapped towards mid-off on the front foot"
"length at leg stump, solidly defended to mid-on"
<b>falls short of second slip.</b> Full ball moving late just outside off stump. Gets him driving at this and it doesn't carry
"short and wide outside off, cut to sweeper cover"
"<b>inside edge</b> past short leg. Length outside off, turns in and pings off the bat to short fine"
"tossed up wide outside off, driven sweetly but he can't get past the diving Williamson at extra cover"
"length outside off, blocked on the front foot"
"full outside off, dead-batted on the front foot"
"length outside off, defends on the front foot, slightly inside the line"
"slower ball, full outside off. Leans into this and drives on the up to extra cover's left. Another diving save"
"short of a length just outside off, left alone"
"short of a length just outside off, left alone"
"length ball wide outside off, left alone"
"short of a length just outside off, defended off the back foot"
full and just outside off. Opens the face and runs it square into the off side
"length outside off, defended to short leg off the front foot"
"<b>rips back in sharply</b> and takes the inside edge onto pad by the looks of it, because this lbw decision is turned down"
"<b>sharp turn in again</b> and catches him on the front foot, but he's got outside the line"
"full outside off, defended to cover"
"length outside off, defended off the back foot"
"length ball wide outside off, left alone"
"full outside off, gets forward and opens the face to slice this. Can't beat backward point"
<b>big lbw appeal</b> but they won't chance their last review. Length ball slanted in and thuds him in front of leg stump as he gets back to try and tickle it fine. Going down
"full on middle stump, pushes with hard hands and gets an inside edge to square leg"
"length outside off, left alone"
"full and just outside off, driven sweetly with a high elbow, but Wagner leaps big to his right to stop this"
"full and just outside off, left alone"
straight ball that allows Sohail to move back and flick it away to long leg
"straight ball, and Azhar plays it with a dead bat off the crease"
"length ball, jags back in, and takes the inside of the bat as Azhar jams down on it on the front foot"
"outside off, length ball, <em>dying</em> on the keeper, as Azhar lets it go"
"length ball, straighter at the batsman, who comes forward and defends. Is forced to take his bottom hand off"
"length ball, and straight at him, and he plays it away to short midwicket"
"straight ball, on a length, and he comes forward and defends it"
"length ball, at about 128kph, outside off stump, and Sohail lets it pass. Dying on its way through to Watling again"
"outside off, and again on a good length. Sohail lets it pass, as it goes straight with the angle of the left-armer bowling over the wicket"
"length ball, that cuts back in after pitching. Sohail gets behind it and defends away to the offside"
"shorter in length, but angling into him. He goes back and defends this"
"dug in short, but angling down the legside. Sohail ducks inside this one"
"short and outside off, and Azhar cuts, but cannot beat point with his shot"
"straighter ball, and this time he allows it come to his pads, before pulling out a dead bat"
"straighter ball, on a length, and he goes back and defends this"
"outside off, on a good length, and he comes forward and dabs it defensively on the offside"
"shorter in length, but straight, and he hangs back and defends"
"straight ball, and he plays it defensively off the backfoot"
"looking for some swing, he pitches it on leg. Almost squares up Sohail, who had already made his mind up to defend. Eventually plays it defensively down to mid-on"
"length ball, shaping back into him. He plays it from the crease and dead-bats it"
"straight ball on off stump, and he comes forward and defends"
"outside off, and moving further away. Sohail watches it through and lets it pass"
"good length, outside off stump, and just in the right channel to tempt him into a drive. Sohail resists, and shoulders arms. Good bowling..."
"length ball, and straight, and he goes back and defends."
"outside off stump, and he lets it pass through"
"pitched up, but going into the pads a bit. Azhar looks to whip it away on the onside, but finds a man at square leg"
"straighter and fuller, and he drives it straight down the wicket"
"strays down the pads, and Azhar is able to flick it away. Tends to fall over while playing on the onside, which could explain the two men catching at midwicket, as well as the line"
"outside off, and he chops it back on his foot as he tries to defends. <em>Feet went nowhere</em>"
"straighter ball, and he defends it. Shouts of 'catch it' but it fell way short of the man at short midwicket"
"length ball, but starts way outside off stump. Azhar is happy to let it pass"
"angles this across him, off a good length. Azhar has a good look at it...and lets it go through"
"straighter ball, and he punches it back past the bowler. The man at mid-on does well to get across to it, but Boult cannot stop it completely. The cleanup operations are helped by mid-off, who gets across quickly"
"pitched up, and he drives it. Straight to Ish Sodhi at covers. A smattering of ironic applause from the stands"
"length ball outside off, and he comes forward and defends"
comes forward to a length ball and defends
"length ball, angling across him, and he comes forward and defends"
"outside off stump, on a good length, and he shoulders arms"
"length ball, just moving away from him from the stumps, and he comes forward and defends on the offside"
"length ball, angles across him, and he presses forward and shoulders arms"
"length ball, straighter in line, and he comes forward and drives it straight down to mid-on"
outside off stump and moving further away
"outside off stump, and width on offer, and he flashes hard at it, and forces it away past Williamson at point. Wasn't too far from the New Zealand captain!"
"length ball, outside off, and Azhar defends from the crease"
"dug in short, and it doesn't rise much, outside off, as Azhar watches it through to the keeper"
"length ball, comes in with the angle, and Azhar nurdles it away defensively to short midwicket"
"length ball, just on offstump, and Azhar defends compactly"
"length ball, and he presses forward and defends"
"length ball turning in, and he defends"
"tossed up, and he comes out of the crease, and punts this over midwicket. Not quite off the middle of the blade, but good enough to get him his first runs in 22 balls!"
comes forward and defends a length ball turning in from off
big turn from outside off into him. He goes back and the ball comes off his pad into the hands of short leg
"length ball, outside off, turning in, and he comes forward and defends"
comes forward and defends another length ball
"tries to further the angle by going wider of the crease, but strays on to the pads even further. Azhar can just turn it around the corner off his pads"
"length ball on off stump, to which Sohail presses forward. Gets the outer edge of the bat, but keeps it down as it goes towards point"
"angles across Azhar, who lets this one pass"
"starts from beyond leg stump and swings further away from Azhar, who does well to get some bat on it. Flies away towards fine leg, beyond an exasperated Watling dive"
"angles outside off and further away, and he lets it pass"
"outside off, and pitched up, and this time Azhar plays it with an open face of the bat. Guides it between the area between second slip and gully, but along the ground. Controlled shot, that also brings up the 50-run partnership"
"shorter in length, and the natural angle allows Sohail to go back and work it away on the onside, keeping it low enough to not bring short leg into play"
"tossed up, and Azhar comes forward to smother the spin on it"
"this time, it's a bit short, and he goes back and cuts to the man stationed at deep cover"
goes back and defends a length ball turning into him
comes forward and defends a length ball on offstump
"fired in a bit quicker, on offstump, and aiming at the footmarks. Doesn't turn as much, but Sohail defends confidently and comfortably off the backfoot"
"length ball, on off stump, and he goes back and defends straight down the pitch"
"outside off stump, and he has a whiff at it. Lost his shape completely, and also let one hand off the handle. The ball goes under the bat, thankfully!"
"length ball, angling into him, and he defends"
"shorter ball, and he ducks inside it"
"straighter ball, and he does well to play it away on the on-side and calling his partner through for a quick single"
"straighter ball, and he defends it off the front foot"
presses forward and defends a length ball
"tossed up, and he sweeps. It's uppish, but there's no fielder at midwicket, and this trickles away for a boundary. The run rate in the last few overs has seen a bit of a boost, hasn't it?"
"comes forward again to a length ball outside off, and tries to drive it, but doesn't get much of bat on it"
"length ball, and he comes forward to drive"
"flatter and straighter, and he goes back and cuts this"
"length ball on offstump, and he comes forward to smother the spin"
"length ball from Boult, but straight at the stumps. He plays it comfortably off the front foot"
"length ball, but just outside off, and allows Sohail to open the face of the bat and steer it towards backward point"
"yorker, and came out of the blue! Well dug out by Sohail"
"length ball, straightening into him, and he comes forward and drives it defensively. Straight to Sodhi at silly mid-on"
"short and outside off, and Sohail ducks inside this one. Did keep the periscope up, though..."
"straight length ball, and he flicks it away on the onside, keeping it down and wide of the man stationed at short midwicket"
"tossed up, wide of offstump, and gets him to come forward and defend"
"outside off, gets the outside edge too, but dies on its way to Ross Taylor at first slip!"
"length ball outside off, hits the footmarks and doesn't turn much. Sohail pushes it away off the back foot through gully"
"full length ball, and he comes down on it with an angled bat, that gives him a single to midwicket"
comes forward and smothers a length ball on offstump
"outside off, and he drives it off the front foot. Stopped by de Grandhomme, but can't prevent the single"
"fuller length ball, but straying down the pads. Sohail is able to nurdle it away, even as Watling lets out a stifled appeal for leg before"
"length ball, and he goes back and defends it away on the onside"
"length ball, a little slower through the air. Azhar goes back and defends, and taps it away to the offside. Thinks of a quick single, but there's no harm in letting that be"
"outside off, length ball, and he drives it through towards cover"
"width on offer, and he forces it away on the offside. <strong>FIFTY</strong> for Azhar! Good knock, this. Has been patient and has been zen-like in concentration. Don't forget, he could have gone for a second-ball duck, if either of Watling or Taylor had reacted quicker!"
"angled away, and he lets it pass"
"tossed up wide outside off, gets the front leg down the pitch and pummels this drive through cover. No stopping that"
"full outside off, flicked to midwicket with the turn"
"length and just outside off, dead-batted into the pitch"
"length outside off, nudged to midwicket's left with the turn"
"full on off stump, driven firmly to mid-off"
"tossed up outside off, driven on the bounce to short extra"
"lobbed up at a length outside off, defended into the turf on the off side"
dropped short and turning back in sharply at off stump. Backs away and chops it to deep point
"tossed up outside off, driven with the turn to short extra"
"tossed up outside off, driven to sweeper's right with the turn"
"length at off stump, defended down the pitch"
"short of a length and turning back into the corridor. Defended on the back foot, outside the line of off"
"length outside off, blocked on the front foot"
"length outside off, smothered into the off side"
"length outside off, driven straight to extra cover"
"<b>pumps it into the empty stands over long-off.</b> Good option from Azhar. Length outside off, steps out and launches it with a turn, on the up"
"<b>past the outside edge.</b> Back you go, says Ajaz. Flatter but dipping on a length outside off. Draws him forward and beats him on the defence"
"length outside off, driven past the bowler to mid-off"
"length at middle stump, defended into the leg side off the inside half"
"short and wide outside off, cut to sweeper cover"
"tossed up on off stump, tapped to long-on after meeting it on the full"
"full outside off, looks to drive through off side but this comes on slow. Trickles to mid-on off the inside edge"
"full on off stump, driven to mid-off with the turn"
"full outside off, stabbed to short extra"
"<b>big appeal for lbw</b> as Sohail is caught on the move and struck in front of middle. That spun and rose steeply, was missing the stumps possibly"
"length outside off, defended on the front foot"
"full toss on off stump, flicked to long-on"
"length on off stump, defended into the covers"
"length ball turning and rising outside off. Looks to sweep it, appears premeditated. Because that was too short for the sweep. It's a one-handed heave to slice it over leg slip in the end"
"length outside off, blocked on the front foot"
"full on off stump, driven with the turn to long-off"
"length on the stumps, defended into the leg side"
"tossed up outside off, driven inside-out to extra cover"
length ball turning into off stump. Defended to short leg off the back foot
"full on leg stump, defended into the leg side"
"full outside off, defended into the pitch"
"length on middle stump, poked into the midwicket region with the front leg planted across off stump"
"length outside off, steps out and pokes into the covers"
"full outside off, driven to short extra cover"
"length outside off, left alone"
"length on off stump, dipping and then spinning away from off stump. Thick outside edge to point's left on the forward block"
"length outside off, steps out and drives with the turn to short extra"
"length at off stump, defended to cover on the up"
"length and in at off stump, defended off the back foot"
"length ball hooping in at leg stump, blocked on the front foot to mid-on"
"length outside off, blocked on the front foot"
"full on leg stump, flicked to short midwicket"
"length at leg stump, defended solidly into the leg side"
"tossed up outside off, driven with the turn to short extra's left"
"length just outside off, goes on the back foot and stabs it to backward point's right"
"tossed up outside off, sliced to sweeper's left"
"length on middle stump, flicked to short leg off the back foot"
"<b>outside edge.</b> Googly from Sodhi, from around the wicket. Haris pushes forward, but with soft hands. It falls short of slip"
"length on leg stump, flicked to backward square"
"length ball wide outside off, left alone"
"short and wide outside off, leans back and chops to deep point"
"length at off stump, defended off the back foot"
"length at off stump, defended solidly from the crease"
bouncer at a leg stump line. Ducks under it
"length at middle stump, defended down the pitch"
short and just outside off. Cut to backward point's right
"length outside off, blocked on the front foot"
"full outside off, flicked short midwicket"
"length at off stump, defended to short leg with the turn"
"length outside off, blocked on the front foot"
"length at leg stump, pushed to short leg with the turn"
"length and just outside off, soft-handed forward block to point"
"length on off stump, pushed to point's left"
"length on leg stump, clipped to short midwicket's left"
"length and in at off stump, defended down the pitch"
"length on off stump, defended from the crease"
"full outside off, tapped to short extra cover on the up"
dropped very short and wide outside off. Pulled to mid-on's right off the toe end
"full on leg stump, poked down to long-on with the turn"
"full on off stump, driven to sweeper with the turn"
"length at middle stump, defended pitch side into the leg side"
"tossed up outside off, met as a full toss that he tries to caress wide of mid-off. CDG puts in a dive there and misses with his throw to the non-striker's end, where Haris is struggling to complete the run"
"short of a length outside off, tapped to point with the turn"
"length outside off, defended to point"
"full on leg stump, flicked to square leg"
"length on off stump, blocked on the front foot"
"length at leg stump, defended from deep in the crease"
"length outside off, defended to cover on the front foot"
"length outside off, blocked into the covers"
"length outside off, hurriedly tapped square into the off side"
"googly, ripping in at off stump. Defended off the back foot"
length ball pushed through flat at off stump. Dead-batted on the back foot
"tossed up at off stump, driven to mid-off with the turn"
"full on off stump, driven to short extra's right"
"short of a length on leg stump, gets on the back foot and punches to deep midwicket's left"
"pitches it up, angles it in, and he comes forward and defends"
"angles into him, and just outside off stump. He defends off the crease"
length ball on off stump and he defends
"pitched up, and he gets on top of it and plays it away to the onside. Risky if he can't maintain his balance, as it will bring LBW into play"
"fuller length, and he comes forward and defends"
outside off and he leaves it alone
"big turn, from a length as it spins across him"
"<strong>JAFFA!</strong> Pitches outside off, turns in sharply, may have taken a bit of bat, but hit the pad and then fell just ahead of slips"
"reaches out to a length balll, and drives it down to long-on"
"curved into towards the pads, and then takes big turn away from the leg stump. Forces Azhar to defend off the backfoot"
"speared in towards the pads again, and he goes back to defend"
reaches out to a length ball and drives it down to third man
"angles back into him, and he defends off the front foot. Stifled leg-before appeals, as Wagner thought it may have struck the pad first"
"length ball, straight at him, and he comes forward and defends"
"outside off stump, on a good length, and he defends after pressing forward"
"outside off, and on a length. Azhar resists the temptation to play at it"
"short, and this time he swivels onto the backfoot and tucks it away, rolling his wrists, in working it down to fine leg"
"straight, at about 132kph, and he comes forward to defend it"
"length ball on middle stump, and he comes forward to defend"
"tossed up, invites the drive, and he gets to the pitch of it before driving"
"angled into leg stump, and there's a little bit of turn for him. Azhar plays it away comfortably on the onside"
"tossed up, and this time he forces it away through the covers by opening the face of the bat"
"tossed up outside off, and big turn back in. Slow, though, and allows Sohail ample time to rock back and push it towards the point region"
goes back and defends a length ball straightening after pitching on leg
"anging down the leg side, and Sohail thinks about having a go at it, and it just passes through to Watling, who looks like he might appeal for a moment"
"straightens into him, off a length, and he plays it defensively to short midwicket"
"outside off, and he lets this one pass"
"length ball, and straightens into him. He drives it down to mid-on"
"length on off stump, and he plays it with a straight bat towards mid-off"
"short, and wide, and he latches on to it, driving it through the vacant backward point region. Good shot!"
"the googly! And had him beaten all ends up. Pitched on middle, and he went back to it, and found himself tied up. Inside edge onto his thigh, thankfully"
"short this time, and allows Azhar to go back and biff it away through covers after it turns away from him"
"tossed up, and he drives against the turn, but into the gap between short cover and mid-off"
"<strong>DROPPED SHORT OF TAYLOR AT SLIP!</strong> Tossed up, and turned big, and took the outside edge, and landed just short of Ross Taylor at slip"
"tossed up, and again he drives off the edge, and it lands just short of point"
"tossed up, and he plays it defensively on the onside this time"
"angling into Sohail, and he plays it off his hips into the square leg region. Sohail looks a lot more comfortable with his footwork now"
"outside off, on a length, and he gets behind the line to defend"
"lenglength ball, he goes back and defends"
"outside off, and he smacks this behind point. Emphatic way to complete <strong>FIFTY!</strong>"
"full toss, and he defends"
"dug in shorter, and he weaves out of the way"
comes forward to a length ball and defends
"goes back to a shorter ball and cuts it, but cannot beat point"
"flighted, and he comes forward and plays it with the turn towards the on-side as the ball straightens"
"shorter in length, and he flicks it away towards square leg"
straight length ball and he drives it back to the bowler
"straight ball, and he comes forward to smother the spin on it"
"straight ball, coming in with the angle, and he defends with a dead bat"
"strays on to the pads, and he flicks him away"
"length ball, cutting in with the angle of the ball, and allows him to play it away to the onside with soft hands"
"length ball, and he defends."
"angles across him, and he plays it defensively on the offside"
"pitched up, but again a cutter on offstump, and he comes forward to defend"
"loopy ball on a good length at offstump, and he comes forward and defends"
"tossed up, but too full, and allows Azhar time and space to drive it away on the offside with the turn"
"cuts back in sharply from outside off, and he goes back and pushes it away towards point"
"tossed up, and he goes back and cuts straight to point"
"tossed up again, and he goes back and plays a cut just from under his eyes"
"looks for a well-tossed ball, but ends up serving a full toss well outside off. Azhar forces it away to the sweeper on the cover fence"
"down the leg side, and Watling whips the bails off as Azhar looks to glance it. Made sure his backfoot was moored inside, though"
"straight ball, he defends it down the wicket"
"straight ball, cutting back into him, and he works it away on the onside. Beats short midwicket, but can't go for runs"
"angling into him, and strays down the pads, allowing an easy leg-glance down to fine leg"
"starts from outside offstump and keeps going away with the angle, and Sohail lets it pass"
"straight ball, pitched further up, and he drives it down to mid-off"
goes onto the back foot and eases it towards covers
"comes forward to a length ball, and allows it to hit him as he smothers the spin"
"uses his feet again to try and counter the turn, and plays it back to Ajaz"
"shorter in length, and allows him to hang back and maneouvre it away to the onside through midwicket"
"Sohail uses his feet too, and chips down to take the ball on a half-volley and drive it down to long-on"
"<strong>GONE UPSTAIRS FOR A RUNOUT CALL HERE!</strong> It was tossed up, and he drove it to the substitute Tim Southee, at mid-off, and set off straight away, was sent back by the non-striker immediately, but the throw has caught him out. That's a terrible way to break what was a very useful resistance, but New Zealand won't be complaining!"
"outside off stump, on a length and he drives it to short cover"
"length ball, straightens after pitching, and Sohail gets right behind it to defend"
"fuller and outside off-stump, and this time he drives, but can't get it past extra cover"
comes forward to defend a length ball
"length ball, outside off stump, and he lets it pass"
"pitched up, and he drives, but cannot beat the man at extra cover"
"tossed up around off stump, and he comes forward and defends"
"<strong>big turn!</strong> Pitches on off and has turn and bounce to beat the batsman, and taken by Watling above his right shoulder"
"action replay of the previous ball, but this time Shafiq doesn't nibble at it"
"bowled wide of the crease, and turns after pitching. He comes forward to defend"
"shorter in length, and lots of turn on offer. He goes back and cuts it. Half-stopped by the fielder, and there was some indecision in the running, but they eventually crossed over once Boult misfielded"
"tossed up, and turning back in sharply, and he defends off the back foot"
"straight ball, and he goes back to defend"
"outside off, and on a length, just a hint of movement back in, but Shafiq lets it pass"
"straighter ball, and cutting back into him. He plays it down to fine leg with a tweak of the wrists"
"way outside off stump, and he lets it pass"
"length ball, he plays it from the crease with a dead bat"
"length ball, straight at him, and he defends off the front foot"
"length at middle stump, defended towards short leg off the inside half"
"length at off stump, defended to point"
"length outside off, cut to backward point"
"length at off stump, blocked on the front foot"
"length at leg stump, gets into the leg side and whips this sweep to short fine who fumbles"
"full on leg stump, flicked to square leg's right"
"length ball pushed down leg side, can't get bat on it"
"length at middle stump, tapped to mid-on"
"length at leg stump, flicked down to fine leg"
"full outside off, driven on the front foot to mid-on"
"length at off stump, defended solidly into the covers"
"full and just outside off, defended to gully off the outside half"
"short and wide outside off, backs away and slaps it to the cover boundary"
"length at middle stump, flicks it to long-on"
"length on off stump, blocked on the front foot"
"length at off stump, smothers the turn and dead-bats into the off side"
"short and wide outside off, backs away and hammers it firmly to the extra cover boundary"
