"length ball and some shape away from off stump, blocked on the front foot"
"length around off, angling towards the batsman who looks to push at it and gets beaten"
"length on stumps, punched off the back foot down the wicket, a tumbling stop by mid-on"
"short of length outside off, goes back and cuts hard but hits it straight towards the point fielder"
"short of length again, this time Shahidi beats the point fielder on his left and gets a couple"
"fuller around off, comes forward and drives it towards extra cover"
"pitched up around off, punched past the bowler for a single to long-off"
"short of length, Shahidi goes back and pulls it ferociously past the short midwicket fielder for four"
"length ball, spinning on the pads, helped towards square leg"
"tossed up way outside off, Shahidi comes forward before shouldering arms"
"length around off, goes back and cuts it towards short third man"
"short and wide this time, cuts it in front of point for the second boundary of the over"
"chopped on. Length ball outside off and spinning in to cramp the batsman who was looking to punch it on the off side, gets an inside edge on the off stick as it keeps a touch low. Maiden ODI wicket for Cameron-Dow"
"length around off, comes forward and drives it towards extra cover"
"flatter, length outside off, goes back and defends it towards cover-point"
"fuller around off, comes forward and nudges it between cover and point for a quick single"
"short of length outside off, stands tall and cuts it past the backward point fielder to get off the mark"
"fuller on the pads, Shinwari comes forward to flick, misses. A big appeal for lbw but was heading down"
"What a catch! Balbrinie goes down, one-handed to his left to take it inches off the ground. Was a length ball on the stumps, Shinwari goes back to defend but it turns past him to take an outside edge. Afghanistan in trouble now, 74 for 5"
"<b>missed stumping!</b> Length around off, and spinning away to beat the forward prod, the keeper fails to collect cleanly though and loses the ball before whipping of the bail. He had another chance as Asghar was stretched out of his crease, he collects the ball and removes the other bail but by that time Asghar was back in"
"length around off, stretches forward and defends, loses his balance though"
"short of length outside off, goes back to cut but ends up chopping it into the ground"
"fuller on middle and leg, pushes it towards midwicket for one"
"fuller around off, comes forward and pushes it towards covers for a single"
"length outside off, goes back and punches it towards mid-off"
"length outside off, reaches out and pushes to extra cover"
"arm ball at a length outside off, defended into the off side"
"<b>past the edge.</b> Length, dipping on off, turning past the defence"
"full on off stump, defended to cover on the front foot"
"length on off stump, blocked on the front foot"
"short of a length just outside off, hurriedly chopped into the covers"
<b>beaten</b> as he looks to sweep from outside off. Length ball rises past the blade outside off
"short and wide outside off, cut to sweeper cover"
"length outside off, blocked on the front foot"
"full on off stump, looks tor the reverse sweep and deflects it to short third's right off his toe"
"short and turning in at off stump, backs away and cuts to sweeper"
"length on off stump, blocked on the front foot"
"length on off, looks to drive against the turn, gets an inside edge to midwicket"
"length on off stump, blocked on the front foot"
"length and flatter outside off, defended off the inside half on the front foot"
"length at off stump, reverse sweep straight to short third"
"length on middle stump, flicked to midwicket off the inside half"
"short of a length outside off, guided to sweeper off the back foot"
"length on leg stump, hurriedly pushed towards that leg gully fielder"
"short and down leg side, beaten on the pull"
"short at middle stump, defended off the outside of the bat"
"short and wide outside off, cut to sweeper"
"short and down leg side, left alone"
"short of a length on leg stump, defended off the back foot"
"length on leg stump, defended on the back foot"
"length on middle stump, defended from the crease"
"<b>swipes</b> it to the long leg boundary. Full ball on middle, got really low and nearly fell over as he got to this on the full. But managed to get it away nicely in the end"
"length on leg stump, glanced to short fine's left off the back foot"
"short of a length just outside off, cut against the turn through cover"
<b>climbs over off stump.</b> Backs away and looks to sweep again but this spins from middle and misses the stumps
"full on off stump, driven with the turn to long-off"
"length on leg stump, flicked to midwicket"
"short and wide outside off, thick outside edge on the cut to third man"
"length on leg stump, flicked to midwicket"
"length on leg stump, looks to flick and just gets it past that catching fielder off the pad"
"short of a length outside off, sliced to sweeper on the up"
"length on leg stump, gets on top of the bounce and dabs it past short leg"
"length on off stump, defended down the pitch"
"full on off stump, mistimed slog trickles out to deep backward square"
"short of a length outside off, tapped to extra cover's left. He misfields after sliding"
"short outside off, cut to sweeper"
"length on off stump, defended with hard hands on the front foot"
"length on off stump, tapped to extra cover on the front foot"
"full on middle stump, tapped down the pitch off the front foot"
"length on leg stump, flicked to fine leg"
"short and wide, nails the connection on the cut, but finds backward point on the bounce"
"length on off stump, turned to mid-on's right from the crease"
"short of a length outside off, runs it to backward point with an open face"
"length on middle stump, defended on the back foot"
"short and wide outside off, cut to extra cover"
short of a length and turning a long way into his body. He's cramped but manages to shovel this to short fine's left. Overthrows at the non-striker's end after a direct hit
"length on off stump, on the back foot and punched to long-on"
"length outside off, punched to long-off's right off the back foot"
"full on leg stump, steps out and clips to long-on's right"
"length on middle stump, hits the reverse sweep straight to short third"
<b>mix-up</b> but Najib gets back. Dropped this full ball to cover's right with soft hands and was sent back after taking a couple of strides
full and dipping on off stump. Draws him in and makes him slice to point
"full on leg stump, flicked to midwicket's right"
short of a length and skidding outside off. Whistles past his attempted cut
"length on middle stump, tapped to long-on off the back foot"
"length on leg stump, flicked to short fine who is quick to the ball and releases a throw to the non-striker's end"
"full on off stump, driven to long-off"
"length around off, down the wicket and pushes it past short midwicket"
"length around off, comes forward and defends"
"length ball around off, reverse sweeps it behind point for a single"
"tossed up around off, comes forward and works it towards square leg"
"fuller on the stumps, driven inside out but only a single"
"fuller around off, comes forward and turns it towards short midwicket"
"flighted outside off, Najib looks to smash it through covers but fails to middle, the ball goes towards the bowler off the inner half"
"short of length outside off, goes back and cuts it towards sweeper cover, KOB makes a tumbling stop"
"a low full toss around off, smashes it past the bowler for a boundary"
"short and wide, cuts it towards sweeper cover for two more"
"length ball on the pads, tucks it away towards square leg"
"fuller on the stumps, comes forward and pushes it on the leg side"
"length around off, comes forward and blocks"
"<strong>beaten</strong>, length outside off, Najib comes forward to block but gets beaten as the ball spins away"
"a touch fuller on the stumps, driven towards long-off from the front foot"
"flighted around off, turns it towards short midwicket with the use of feet"
"short of length outside off, Asghar goes back and cuts it past the short extra cover for four"
skips down and helps it towards deep square leg with the spin
"fuller on the pads, swipes it towards short fine leg"
"length, once again on the pads, glances fine, and collects three before short fine leg pulls it just inside the boundary line. Third umpire is having a closer luck and deems the fielder's foot was in touch with the rope when he pulled the ball back, and that's fifty for Asghar"
pushed towards covers for a single
"length on the stumps, goes for the slog sweep but doesn't get the timing right, a single to deep midwicket"
"short of length outside off, goes back and cuts it towards sweeper cover"
"length but down the leg side, called a wide"
length around off and sharp turn to cramp the batsman was on the back foot looking to punch it away
"length around off, goes back and punches it towards mid-on"
"length around off, comes forward and defends"
"fuller around off, driven inside out towards the right of long-off"
"short of length on the stumps, punched towards long-on for another single"
"length around off, bowled flatter and quicker, punched towards covers"
"fuller around off, driven to the right of the extra cover who fumbles and allows a single"
"length around off, drops it towards covers and sets off for a quick single"
"short of length around off, comes forward and turns it towards square leg"
"fuller around off, defended on the front foot"
"short of length outside off, Asghar waits for it before flicking it towards square leg"
"short of length around middle, defends it on the leg side from the crease"
"length around off, stands tall and punches it towards the right of mid-off"
"length around off, Najib pushes at it and gets beaten as the ball just turns away"
"fuller around middle and leg, angled in this time, defended"
"length around off, pushes it towards cover-point"
"length around off, punched off the back foot towards long-on"
"fuller around off, digs it out towards deep extra cover, comes back for the second before the long-off fielder comes across to cut it off"
"length around off, punched towards long-off, only a single this time"
"fuller around off, plays across the line towards midwicket for a single"
"short of length outside off, gets on the top and cuts it down towards point, a fumble there"
"short of length around off, was looking to drop it towards covers but the ball hits the inner half and rolls on the leg side"
"short of length outside off, rises on his toes and dabs it towards cover"
"short of length on the leg stump, flicked away behind square"
"length around off, stays back and steers it towards the left of point"
"Asghar was looking to skip down but Simi shortens his length, punched towards short midwicket in the end"
"and again, this time Simi bowls at a length on the pads, flicked towards short fine leg"
"fuller around off, comes forward and turns it behind square leg"
"fuller on the stumps, driven towards long-on"
"length around off, whipped away but couldn't beat short midwicket"
"length around off, comes forward and defends down the wicket"
"launched in front of square for a six, was a length ball on the stumps and Najib just picked it up with the wrists"
"short of length in the rib cage, tucks it towards square leg"
"short of length down the leg side, Najib goes for the flick but misses, a big appeal for caught-behind, given not out. Najib is asking for a wide but the umpire says no"
"short of length around off, taps it towards covers, a good comeback by Rankin after being hit for a six the first ball"
"length but down the leg side, given a wide this time"
"almost lobs it towards the bowler, short of length on the body, comes slower off the wicket as Najib stays back and looks to defend, luckily it falls towards short leg"
"short of length, outside off, dabbed towards point"
"length on middle stump, tapped to midwicket's left"
<b>pumped into the stands</b> over midwicket. Length ball pushed flat outside off. Steps out and drills it high over the fielders there
<b>and again.</b> Less distance on this but six is six. Only just clears the fielder. Wasn't to the pitch this time but went through with the slog anyway after stepping out
"short of a length outside off, mistimed drive to extra cover"
"yorker outside off, carved to short third man"
"length outside off, looks to drive through the line, gets an under-edge into the pitch"
"yorker length at off stump, tapped towards mid-off off the toe-end"
length and just outside off. Defended to point off the outside half
"short of a length outside off, defended into the covers off the back foot"
"short outside off, chopped to third man"
"short of a length at off stump, defended into the off side"
"short of a length outside off, guided to third man with an open face"
"length outside off, driven on the up to mid-off"
"slower ball at a length on leg stump, flicked to fine leg's left"
"length on off stump, pushed to mid-off on the rise to pinch a single"
slower bouncer pings out of reach and he lets it go outside off
"low full toss on leg stump, flicked to deep midwicket's right"
nicely timed. Full ball outside off and his hands flow through this drive to sweeper's left
<b>will find the boundary this time.</b> And his fifty with it. Overpitched again outside off and this time there's more room and more weight transfer into the shot. It's also between extra cover and mid-off. No one to stop that
"pulled to long-on's right. Short ball at middle stump, cramped on the shot but manages to drag it with the bounce"
"<b>finds fine leg.</b> Short ball angled into the hips, there for some punishment, but Asghar's initial movement down leg side means he's cramped on the ramp. Finds KOB there. A superb innings nonetheless. This innings was in danger of ending a lot earlier if it wasn't for the captain"
short and just outside off. Opens the face and runs it to third man's left
"short of a length just outside off, beaten on the edge as he opens the face again"
"short of a length on off stump, defended on the back foot"
"<b>has he edged that?</b> Yes. Nabi departs. That same line, Ranking keeps hammering it and it pays off. Short of a length outside off and he's late on the slice off the back foot. Thin edge and that's two in the over. Start of another collapse?"
"length and angled in at off stump, blocked on the front foot"
"length on middle stump, flicked with the angle to long-on's left"
"length on off stump, driven on the up to long-off"
"overpitched on off stump, driven to long-off"
"length and in at off stump, backs away and mistimes a drive to extra cover"
"<b>reverse ramp over third man!</b> Stunning hit. Length ball at middle, gets down and changes position rapidly before whipping at this and lifting it over short third and backward point"
"short of a length outside off, sliced to third man"
"short of a length on off stump, defended to point off the back foot"
"short of a length on off stump, defended to point off the back foot"
<b>clears the square leg boundary.</b> Short ball at middle stump and he shuffles around in the crease before unleashing a mighty heave at this rising ball. Strong hit
"short at the hips, flicked to fine leg"
"length on off stump, defended into the off side"
<b>inside edge</b> past the keeper. Low full toss outside off. Chucks the bat at it and can't make the desired connection
"low full toss outside off, and this time he goes with the angle and opens the face. Slices it over point"
<b>clears long-on!</b> A short-arm punch and he holds the pose. More full toss action from Murtagh and he lines up to club across the angle this time
"low full toss outside off, sliced to deep extra cover"
slower short ball at off stump. Nails the connection on this pull but finds deep square
"overpitched outside off, dug out to deep extra"
<b>leading edge</b> lands safely to fine leg's left. Short ball and he's wafting with no control under it. No shape either. Comes back for the second
"<b>beats sweeper cover's dive</b> and picks up four more to inch closer to an ODI best. Short ball, makes room and throws his hands at it hopefully. Gets it over point and it trickles into the boundary after a valiant effort"
"short on leg stump, glanced to fine leg's left and is equal now on his highest score in ODIs"
"short and climbing in the corridor, looks for the ramp past keeper, beaten"
"length on leg stump, rapped on the pad as he looks to flick this"
<b>swiped</b> to the backward square boundary. Predictable length from Rankin. Rashid steps into the off side and sets up for the short of a length delivery. It arrives and he drags it with the angle
"low full toss outside off, driven to deep extra's left"
"slower yorker, it appears. At a leg stump line. Can't get under it. It gets under his bat, in fact. And bounces over leg stump"
mistimed pull lands safely in front of deep square. Slower bouncer this time and he gets no timing on this
"low full toss outside off, slaps it off the toe-end to long-off"
<b>taken by sweeper cover</b> running in from the boundary. Seems like yet another slower ball. It's overpitched at a middle stump line and he wants to pump it into the leg side. But he's through it early and is forced to open the face in the end. Simi takes a good running catch
<b>over long-off!</b> Knee high full toss and he uses quick wrists to whip at this. Lots of width too. Easy hitting
short of a length and angled in at off stump. Looks to run it down to third man and is beaten
"length on off stump, defended towards point to get Najib back on strike"
"<b>dropped!</b> And a run-out chance missed! Is that the sign he's destined for this hundred?! Terrible from Ireland. Short of a length ball at off stump, looks to pull it and gets a top edge that lobs up for McBrine at point. He is nowhere near being underneath that by the end. Lunging to his left as he drops it and then throwing at the striker's end. Where there's no one to receive the throw."
<b>good bouncer</b> and he's not happy it's been called wide. Got steep on the batsman as he evaded it from a middle stump line
<b>there it is!</b> A length ball from Rankin tapped into the covers with soft hands for Najibullah Zadran's maiden ODI hundred. And it's one to remember. What an important knock and so well compiled
"yorker at off stump, jammed out into the covers"
"<b>gets it over mid-on</b> and that means four more. With that fielder in, Rankin can't bowl full. Najib recognises this and lines up. Stays put as he lifts it over the fielder with the inside half of the bat for a strong finish"
"full on off stump, defended to midwicket off the inside half"
"full on off stump, flicked uppishly to long-on"
"length outside off, reaches across for it and taps it on its way past short fine"
"full outside off, swept to short fine"
"length on off stump, blocked into the midwicket region"
length and turning away outside off. Driven on the up to extra cover
"full and swung in at leg stump, tapped to mid-on with the angle"
"length outside off, stays leg of it and punches on the rise between cover and extra"
length ball pushed wide outside off. Looks to crash it on the up through cover but the bat turns in hands as he makes contact
"length outside off, beaten on the inside edge as he looks to drive through the covers"
"short of a length outside off, inside edge onto pad as he offers an angled bat at this"
"length outside off, pushed to cover on the rise"
"length ball down leg side, can't get bat on the sweep"
"length outside off, gets low and swats this away before it can spin. All along the floor to long leg's left"
"full on middle stump, swept to long leg"
"length on off stump, defended down the pitch"
<b>on the back foot in front of off stump.</b> Porterfield has no chance of surviving this lbw appeal. Length and zipping in at him. Keeps low as well and he's trapped on the back foot whip
"length on off stump, pushed into the square leg region off the back foot"
"full outside off, defended on the front foot"
"length on off stump, punched to mid-off on the rise"
"length on off stump, pushed to midwicket on the rise"
"length outside off, driven on the up to extra cover"
"length outside off, rising up off the surface and he heaves it to the square leg boundary off the inside half"
"length on off stump, blocked on the front foot"
"length on leg stump, pushed to mid-on on the front foot"
length and coming in at off stump. Defended on the front foot
"full and this time it's a wristy release, so he checks his sweep and gets in a tangle as he keeps this out outside off"
"short of a length, skidding and cutting away as he looks to chop this. No idea where that was going and he's beaten"
"full outside off, goes through with the sweep, along the floor to long leg"
"length outside off, blocked on the front foot"
"length on off stump, swept to long leg"
"length on off stump, blocked on the front foot"
"full and just outside off. Looks to drill through the covers, gets it to mid-on off the toe-end"
"length on off stump, blocked on the front foot"
"length outside off, skips into the off side behind the line and picks it up beautifully to the backward square boundary"
"length and in at off stump, blocked on the front foot"
"length on off stump, defended on the front foot"
"length outside off, looks to defend for the offbreak, is beaten by the legbreak"
"length on middle stump, watchfully pokes into the leg side"
"length outside off, plonks the front leg across and under-edges the sweep to short fine's right. Was close to being trapped in front"
"length on off stump, defended on the front foot"
"full outside off, swept to long leg"
now plays for the legbreak and is beaten on the inside edge to be struck on the pad at a leg stump line. On the front foot and clueless about this. It's a laboured stay so far for Balbirnie
"length on off stump, blocked on the front foot"
"length on off stump, a couple of steps forward and pushed to mid-on"
"<b>taken at mid-on!</b> Asghar Afghan leaping backwards after a few steps has held on to end Stirling's innings. That is big for Afghanistan, he was looking good. Length ball wide outside off. Wants to slap it on the up through cover but it's off the inside of the toe-end and grabbed by the captain"
<b>inside edge</b> onto pad and trickling behind square as Simi is late on the forward defence. This was angled in at off stump on a length
"oh lovely shot, but extra cover sticks out a hand and keeps it to one. Short of a length and he was right behind the line to punch this with a high elbow. A dive to the left from the fielder to take pace off it"
"<b>given!</b> Simi is late on the ball yet again. Late enough to not even get an inside edge this time. It's a close call because he's stuck in front of leg stump on the knee roll, but that could be hitting the top of leg. Dawlat getting another one to skid in from a length"
"full on off stump, swept to long leg"
length and turning in at off stump. Defended to midwicket off the inside half
length and keeping low at leg stump. Flicked to midwicket off the back foot
"length on middle stump, defended off the back foot"
"length on leg stump, flicked to midwicket"
"length on off stump, blocked on the front foot"
length and slanted in at middle stump. Inside edge to midwicket
"length outside off, beaten on the outside edge as he swishes at this"
<b>in the air</b> but wide of short midwicket. Length ball at middle stump. Closes the face too early on it
"length outside off, driven on the rise to mid-off"
"length on leg stump, looks to flick and deflects it to the keeper's left off the bat. Falls short of Shahzad down leg side"
"length outside off, driven to mid-off on the rise"
"fuller around off, goes for the drive, doesn't middle it as the ball rolls towards cover-point"
"a carrom ball, pitched up on the stumps, pushed back"
"short of length on the stumps, goes back and punches it through covers for a boundary"
"length ball on the pads, stays back and works it past short midwicket for one"
"length around off, comes forward and blocks"
"fuller this time and swept in the air, the deep square leg fielder thought he had a chance but it sails over him"
"length on middle and leg, KOB looks to push inside out and almost lobs it back, just towards the left of the bowler"
"a touch fuller around off, comes forward and blocks"
"length again, pitching around leg, a bit of spin for Shinwari but defended comfortably"
"short of length outside off, goes back and cuts it towards sweeper cover for a couple"
"short of length on the pads, tucked away towards deep square leg, the batsmen collect two more before Rashid Khan throw comes in"
"tossed up outside off, slices it towards point"
"length ball on the stumps, goes back and flicks it behind square"
"length around off, stays back and works it towards cover for a quick single"
"length around off, comes across and flicks towards short midwicket"
"flatter around off, comes forward and blocks"
"length on the stumps, punched towards the left of short midwicket who makes a sliding stop to prevent any runs"
"length around off, comes across and defends it in front of his pad"
"length around middle and leg, goes back and flicks it towards square leg"
"tossed up around off but too full, KOB lofts it between long-off and sweeper cover for a boundary, didn't try to hit it too hard, just focused on the placement"
"a difficult chance at short extra cover, Shahidi dives to his right but cannot latch on to. Was flighted around off, and KOB just chipped it on the off side"
"short of length outside off, goes back and beats the short third man with cut"
"flighted on the stumps, Balbirnie goes down and slog sweeps it over the deep midwicket boundary for a six"
"flatter on the leg stumps, Balbirnie misses the flick and is hit on the pads"
"fuller around off, comes forward and finds extra cover with drive"
"short of length outside off, defended from the back foot"
"fuller around off, looks to hit down the ground, the ball hits the inner half and goes towards midwicket"
"flatter on the stumps, KOB goes back and defends it on the leg side"
"short of length outside off, goes back and punches it towards extra cover"
"short of length outside off, punched towards sweeper cover off the back foot"
"flighted outside off, KOB goes down on one knee and launches it high and long over long-on"
"what have you done KOB!? A juicy full toss on the stumps, KOB looks to repeat the shot but fails to middle it and an easy catch for Asghar at mid-on. He is livid with himself"
"flighted outside off again, pushed towards extra cover"
"pitched up on the off stump, Dockrell digs it out back"
"tossed up around off, comes forward and pushes it towards covers"
"length around off, stays back and punches it towards covers"
"length around off, comes forward and blocks"
"a touch fuller and straighter, defended on the front foot"
"plays back to a fuller delivery, defends with soft hands and the ball almost goes back to hit the stumps"
worked down the ground for a walking single
"fuller on the stumps, gets down and sweeps it square"
"length outside off, punched towards covers off the back foot"
"short of length outside off and pulled away towards deep square leg, scampers back for the second"
"tossed up around off, comes forward and digs it out towards extra cover"
"length ball on middle and leg, goes back and flicks it towards square leg"
"length ball on the stumps, defended back from the front foot"
"tossed up on middle and leg, works it towards square leg"
"flighted on the stumps, comes forward and dead-bats"
"length ball on middle and leg, worked towards long-on"
"a shout for lbw but not given. Tossed up outside off, Dockrell comes forward to defend and gets beaten but the impact was outside off"
pushes it towards short midwicket
"length ball on the stumps, worked towards square leg"
"length outside off, Balbirnie goes back and leaves it alone but it spins back to hit the on the back pad. A loud appeal but the umpire thinks it didn't turn enough to hit the stumps"
""
"short of length outside off, goes back and almost pulls it to mid-on, falls just short"
"flighted on the stumps, defended from the crease"
"tossed up on the leg stump, defended again"
"short of length outside off, goes back and cuts but hits it straight towards point"
"beauty! Some drift, pitching around middle and leg and spinning sharply to beat the batsman outside off, Dockrell had no clue"
"short of length this time, goes back and drags it towards midwicket for a couple"
"fuller outside off, goes down and paddles it towards fine leg"
"fuller around off, swept towards the left of fine leg fielder for a couple"
"length around off, comes forward and blocks"
"length around off, goes back to cut but it spins at him and Dockrell ends up chipping it over the bowler's head"
""
"length ball on the pads, flicks it towards short fine leg"
"length outside off, goes back to cut, ends up chopping it between the keeper's legs"
"flighted around off, pushes it towards covers"
"length ball on the stumps, goes back and flicks it towards midwicket"
"flatter on a length around off and middle, Balbirnie gets forward to defend and gets beaten as it turns sharply"
""
"a touch fuller around off, punched off the back foot towards sweeper cover"
"length around off, Balbirnie is stuck in the crease, looks to defend and gets beaten"
"short of length outside off, goes back and cuts it towards deep point"
"length around off, goes back and punches it towards cover"
"a googly this time, pitching on a length to beat the forward push, an appeal for lbw but given not out"
"length outside off, goes back to cut and gets beaten"
"short of length outside off, cuts it straight to point"
"length ball in the corridor, Dockrell looks to run it down, misses"
"back of length on the stumps, drops it towards cover and sets off, Najib charges towards the ball, a one-handed pick-up and throw at the bowler's end. A direct hit would been out"
"length around off, comes forward and blocks"
"length around off, presents the straight bat to work it down the ground, Dawlat goes low to his right and gets a hand to take the pace off"
"short of length around off, gets behind the line and blocks"
"fuller around off, comes forward and drives it firmly but straight to mid-off"
"googly outside off, pushed towards cover for a single"
"a sharp legbreak, pitching on a length around off and spinning away to beat the forward defence"
gets an outside edge this time but bounces short of first slip and scoots through for a boundary
"googly again but down the leg side this time, called a wide"
"almost chopped on! flatter around off, goes back to defend but is a tad late on it, gets an inside edge on to the pad"
"length around off, taps it towards cover for a single"
"length around off, Balbirnie pushes forward and gets beaten as it spins away"
"fuller on the pads, clipped away towards fine leg"
"fuller around off, comes forward and drives it down the ground for four, Dawlat tried to stop it with his foot but failed"
"an attempted bouncer but doesn't rise as much, Balbirnie was looking to pull initially but decides against in the end. However, he fails to duck in time is struck on the shoulder"
"short of length around off, punched towards covers for a quick single"
"short of length on middle and leg, worked away behind square for one"
"nice sound off the bat. Short of length outside off, goes back and pulls it in front of square for four"
"short of length on the pads, a googly in fact, flicked towards backward square leg"
"length around off, comes forward and pushes it towards covers"
"short of length outside off, goes back and pulls it towards long-on"
"fuller around off, comes forward and defends"
"a googly around middle and leg, defended from the front foot"
"short of length outside off, goes back and cuts it towards deep point"
"tossed up on the stumps, comes forward and drives it towards extra cover"
"length around middle and leg, flicked towards short fine leg for a quick single and that's <strong>half-century for Balbirnie</strong>"
"short of length outside off, cuts it towards covers for one more"
"flighted outside off, goes for the drive but the ball spins away and takes a thick outside edge, no slip in place"
"fuller on the stumps, flicks it towards square leg"
"a neat legbreak to finish the over. Length around off, Balbirnie comes forward to defend, but gets beaten as the ball spins away sharply"
"fuller around off, comes forward and drives it square off the wicket"
