"looks to swing it away from middle stump, but it's full and down leg side"
"full and into the pads, turned past midwicket"
"length at off stump, pushed into the off side"
"short and wide, plenty of time to shape up for the cut, but hardly anything off the pitch to assist him with the power. He slaps it in front of square, but extra cover can chase and keep it in"
"full at off stump, driven straight to mid-off"
"length at off stump, defended into the covers"
"good length on off stump, forward defence"
"good length outside off, covers the off stump, lets it go"
"good length outside off, left alone"
"back of a length at off stump, pushed to mid-on off the back foot"
"good length outside off, leans in and pushes it through the covers....Yasir swoops down and shies, rightly so, at the non-strikers end. He misses the stumps though and then mid-on misses the ball completely. Dreadful backing up."
"overpitched outside off, nicely driven, but straight back to the bowler"
"back of a length outside off, left alone"
"good length at off stump, defended on the front foot"
"short one outside off, but it spins back quickly and cuts the room as he looks to punch. Toe-ended to extra cover"
"full at off stump, flicked to mid-on. Who was long-on throughout the first two sessions"
"good length outside off, kicks it away"
"length outside off, takes a step into the off side, pushes it down the pitch off the front foot"
"good length outside off, gets low to try and ramp. Keeper and slip were both running down leg, but Dimuth cops it on the body and it lands pitch side on the off side"
"back of a length, spinning in from outside off, punched to extra cover"
"good length at off stump, defended down the pitch"
"good length at middle stump, flicked straight to square leg"
"short and wide, climbing too, left alone"
"full and into the pads, caresses it past midwicket with a flick"
"offcutter, good length on middle stump. Pushed to square leg"
"good length in the corridor, well forward to defend it"
"length at off stump, dips on him and he reaches out to flick it through square leg"
"length at off stump, driven to mid-off"
"back of a length outside off, mistimed punch on the back foot, straight to extra cover"
"back of a length at off stump, punched into the covers"
"length at off stump, defended off the back foot"
""
"good length at off stump, tucked on the up to midwicket"
"full outside off, leans in for the drive, can't on this pitch. Gets it to mid-off's right with no pace"
"back of a length at middle stump, bunted behind square on the leg side and back for the second"
"good length at middle stump, defended to mid-on"
"offcutter, good length in the corridor. Defended to point"
"tosses up a dolly, full and wide. Bait is not taken, he's left it alone"
"full outside off, driven to point's left"
"full at off stump, flicked straight to midwicket"
"full at middle stump, can't beat midwicket's dive with the flick"
"back of a length at off stump, tapped to short leg off the back foot"
"full at off stump, pushed to short leg"
"good length outside off, defended on the front foot"
"back of a length outside off,"
"good length, angled across off stump. Left alone"
"good length at off stump, inside edge onto pad as he looks to flick"
"good length outside off, left alone"
"back of a length in the corridor, defended off the back foot"
"good length outside off, leans in for the cover drive, slow pitch. Inside half poke to mid-on in the end"
"short and wide outside off, shapes to cut, adjusts for the pace. Taps it watchfully to cover"
"<b>he's run out!</b> Here's the wicket and it's not the bowler's doing. Very average cricket from Chandimal, the non-striker. This was tossed up outside off, Dimuth stepped down to get to the pitch, tapped it wide of mid-on and took off for the run. A run which was there, and a run which he went for. It was his call, after all. But Chandimal is ball watching and has his back turned to him. Not even a call for no. The left-hander has reached the other end by now. Very unfortunate for him. Sarfraz waits after gathering the throw and absolutely batters the stumps. He's got his breakthrough"
"good length at middle stump, gets down and goes for the sweep. Top edge floats behind square on the leg side"
"length at off stump, forward defence"
"back of a length, ripping in at off stump from outside. He's back in the crease and struck on the back leg. Umpire says not out. They've reviewed. Height could be the only issue. There's no inside edge. Line looks fine too and he's well back...impact is umpire's call and so is the height. <b>Not out. Review won't be lost.</b>"
"full outside off, shapes to drive this, checks last moment. Pushed back to the bowler"
"hit on the pad as he goes on the back foot again, but this one is sliding down"
"good length outside off, big stride and defends into the covers"
"full and wide outside off, gets low to try and clatter a drive through the covers. Toe-ends it to extra cover"
"good length, angled down leg side. Pushed with the angle to fine. Was an attempted offcutter, 119kph"
"<b>the perfect yorker.</b> Wide of the crease, shaping in at off stump. Does well to get bat on it"
"offcutter, good length, outside off. No timing on the attempted cover drive"
"good length in the corridor, pushed on the up to extra cover"
"good length at middle stump, forward defence"
"length at middle stump, defended into the leg side"
"good length at leg stump, steps down to flick against the turn, leading edge rolls into the off side"
"good length at leg stump, another leading edge. This time to point as he closes the face. He's looking very antsy"
"good length outside leg, spins and thuds into his pad as he pokes at it"
"back of a length at leg stump, turned to short fine off the back foot"
"good length at off stump, defended off the back foot"
"offcutter, good length at middle stump. Pushed to mid-on on the up"
"full and angled into the off stump, squeezed out to extra cover"
"another yorker. Getting some shape in, but unable to get past his defences"
"bouncer, left alone comfortably after thinking about playing the ramp"
