"starts with a short of length delivery, worked away towards square leg, off the mark straightaway"
"pitched up, defended towards mid-on"
"once again dropped a touch shorter, Mithun punches it towards extra cover off the back foot"
"length from around the wicket, goes for the cut but misses"
"pushed towards long-on this time, a walking single there"
"short in length this time, Mominul goes back and punches it towards extra cover"
"length, just outside off, Mithun hangs hit bat outside off, a thick outside edge towards backward point"
"fuller around off and middle, Mominul uses his feet and works it towards midwicket, all along the ground"
"fuller outside off, smothered on the front foot"
"short of length, goes back and flicks it towards backward square leg"
"down the track, doesn't reach the pitch of the ball, ends up padding it away"
"short and cuts it away, gets another brace before sweeper cover cuts it off"
"a touch fuller and wider, dabbed behind the wicket, first slip cuts it off"
"tossed up this time on middle and leg, Mominul was looking to work it through midwicket, ends up flicking it behind square"
<b>beauty!</b> Pitching around middle and leg and spinning away to beat the bat as Mithun looks to defend
"tossed up around off, comes forward and blocks"
"fuller on the stumps, pushed back towards the bowler"
"was in the air but goes past the diving short midwicket fielder on his right, Hetmyer uses his football skills to stop it just in front of the boundary, it was tossed up around off and middle, Mominul wasn't close to the pitch but went through it"
"short of length outside off this time, punches it towards sweeper cover"
"length ball, spinning back in to the batsman, turns it away on the leg side"
"length around off and middle and spins down the leg side, tucked away behind square for a couple"
"short of a length just outside off, cut to backward point"
<b>nearly chops it on.</b> Length ball drifts in sharply and zips away as he goes deep in the crease to defend on the back foot. Follows with his hands and gets an inside edge
<b>slogs across the line</b> and is caught by the keeper pitch side on the off side. He's lost all composure. Bishoo with the vicious drift in again. This time the ball is fuller and turning away from leg stump. He's trying to clear midwicket and has lost his shape completely
length and spinning in at middle stump. Goes back and punches to long-on
"full on leg stump, leans into this and flicks to deep backward square's left"
"short outside off, spinning back in. Chopped to deep point's left"
"length outside off, blocked on the front foot with the turn"
"full toss outside off, driven to sweeper cover"
""
""
"length on off stump, blocked on the front foot"
"length on off stump, blocked on the front foot"
"full outside off, leans in and flicks to short leg"
"short of a length and in at off stump, tapped into the covers"
"short of a length outside off, sliced to deep point"
full and wide outside off. Leans in and opens the face to run it past slip
"length at middle stump, punched to long-on"
"tossed up wide outside off, meets it at the pitch and drives it wide of mid-off"
"length at off stump, tapped to extra cover with the turn"
"length ball in at off stump, defended off the back foot"
"length at leg stump, defended into the pitch"
"length at off stump, driven back down the pitch"
""
"full outside off, jammed down to long-off"
<b>rapped on the pad</b> as he goes back to a fullish delivery. That spun back in sharply but was probably going down. Lbw appeal is denied
"length on middle and leg, looks to flick, rapped on the pad again"
"short of a length on leg stump, flicked to deep backward square"
<b>another big lbw appeal.</b> It is turned down too. They won't review. Length ball turning in sharply from outside off. He got big stride in trying to defend this. Was he struck outside off? Bishoo causing problems as soon as he switches from around the wicket. <b>Replays show there was an inside edge on it.</b>
"length ball skidding straight on, defended off the back foot"
"length on off, blocked on the front foot"
"length outside off, chopped to point off the back foot"
"length outside off, punched to cover point on the up"
"length ball turning away from off, flicked to deep square off the back foot"
"full on off stump, tapped to cover with the turn"
"full outside off, driven to cover's left"
"full on middle stump, flicked to deep square's right and he picks up three to get into the nineties"
<b>inside edge past short leg.</b> Bishoo causing serious problems with this angle. Getting a lot of turn and bounce as Mominul pokes with hard hands on the front foot. It pings off his pad and trickles to square leg
"length at off stump, steps out and flicks to midwicket"
length ball turning in at leg stump. Rapped on the pad as he looks to glance it fine
"length at off stump, ramps it out to long leg off the front foot"
"short of a length on leg stump, whipped to backward square leg"
<b>clears midwicket.</b> Excellent from Mominul. Seizes control in the battle again. Gets down the track and doesn't allow it to turn. Meets it at the pitch and drills it
"length on off stump, blocked on the front foot"
"length outside off, driven to long-off with the turn"
"<b>slashes past point for the hundred!</b> Short and wide from Chase and Mominul merely uses the pace to get it between point and cover. That's his third consecutive Test hundred at the venue. And his eighth in Tests, which means he equals Tamim for <b>most hundreds</b> by a Bangladesh batsman. What a player, what class today."
"length at off, dead-batted into the pitch"
"full on off stump, driven to long-off"
"length on off stump, tapped into the covers"
<b>steers it fine.</b> Roach bangs it in from around the wicket. Mominul gets behind the line and uses the pace and angle to tickle it off the hips
"length outside off, defended off the back foot"
"length on leg stump, leans into it and flicks to deep square's right"
"length and in at off stump, defended off the back foot"
"full and in at middle stump, met on the up and drilled between stumps and non-striker. Slightly off the inside half, but there's enough on it"
"<b>glorious!</b> Shakib with a sizzling drive. This shapes in from outside off, on a good length. He plants half a stride forward and punches it wide of mid-off"
"tossed up at off stump, driven to mid-off"
"full on leg stump, flicked to deep midwicket"
"length at leg stump, gets deep in the crease and nudges it late to get it fine"
"length at leg stump, gets back in the crease again and tickles it through square leg off the back foot"
"full outside off, tapped to extra cover's right"
"length at leg stump, defended off the back foot"
"length at leg stump, flicked to deep square off the back foot"
"length at off stump, defneded off the back foot"
length and speared in at off from wide of the crease. Hurriedly gets back and low to defend this
"<b>his hips don't lie.</b> Shakib will do anything to protect his wicket! Short ball coming into the corridor, chops it into the pitch and theres danger of it bouncing back onto the stumps. So he gets in between and puts in a jig to get this away from the stumps via his backside"
""
"length outside off, chopped into the covers"
"length at leg stump, flicked to square leg"
"length on leg stump, flicked to square leg"
"full at the stumps, defended down the pitch"
"full on leg stump, flicked with the turn to deep midwicket"
"short of a length on leg stump, flicked to short fine's right"
"full outside off, driven to mid-off"
"length at off stump, defended off the back foot"
"length outside off, tapped on the up to extra cover"
"length outside off, driven on the up towards mid-off"
"length on middle stump, pushed down the pitch on the up"
"overpitched outside off, forward stride as he drives to mid-off"
length and down leg side. Looks to flick this and gets it to the keeper via thigh guard
"length outside off, tapped to extra cover on the up"
"length at middle stump, defended off the back foot"
"length at off stump, defended off the back foot"
short and just outside off. Chops late to get it to deep point's right
"length outside off, sliced through the point region"
"length and in at leg stump, flicked to deep square"
"length and in at leg stump, flicked through square leg off the back foot"
"short of a length on leg stump, punched to deep midwicket's right"
"length at off stump, driven to long-off"
<b>big turn.</b> Mominul gets back to defend off stump and this rips away outside off. He's squared up
"length on off stump, defended off the back foot"
"<b>past the outside edge</b> again. Length at off stump, big turn away again. Too much turn"
"full on leg stump, flicked to deep square"
"length outside off, tapped pitch side on the off side with soft hands"
short ball angled into the corridor. Arches and drops the bat to let this fly by
bouncer slanted down leg side. Parries it to fine leg's left with the hook
"short ball down leg side, left alone"
"length on off stump, defended on the front foot"
"full on off stump, pushed down the pitch on the up"
"bowled flat with the arm, was a touch fuller, caught Shakib on the back foot, who does well to get his bat down"
fuller again and driven through covers this time
"another drive through that region, this time by Mominul, easy single"
"slower this time, at 83 kph, but way outside off, left alone"
"dropped short, Shakib gets a thick outside edge as he looks to punch it through covers, takes a single to short third man"
"pitched up and driven towards long-on off the front foot, another single"
"caressed through cover-point region, it was a tad fuller outside off and Mominul leans into it, gets a couple of runs"
"length outside off from around the stumps, left alone"
"<strong>and gone</strong>! Gabriel gets his first wicket, it was a length ball outside off, Mominul flashes at it, away from the body, no feet movement whatsoever, gets an outside edge and Dowrich does the rest. A loose shot overall by a set batsman"
"a juicy full-toss outside off, a welcome gift of sorts and Mushfiqur accepts it gleefully. Drives it through point for four and gets off the mark"
"short of length outside off, Mushfiqur stays behind the line and defends it towards covers"
"length ball, coming in to the batsman after pitching, Mushfiqur was looking to force it on the off side, gets beaten is rapped on the pads. A huge lbw appeal denied but West Indies have reviewed. The bat hits the pad as the ball sneaks past, and that's plumb, would have crashed into middle and leg and that's gone"
"arm ball from round the wicket, Shakib goes back and blocks"
"keeps a tad low this time, length outside off and Shakib gets a bottom edge as he goes back to defend"
"short of length outside off, cuts it towards point"
"fuller on the stumps, and driven towards long-on for one"
"fuller outside off, pushed towards cover"
"down the track and chips it towards long-on, was in the air for a while but the fielder is deep"
"length ball, on middle and leg, tucked away towards square leg"
"short and wide this time, driven past point for a couple of runs"
"a bouncer this time, Mahmudullah ducks under it, no problems for him"
"a full toss down the leg side, Mahmudullah misses the flick, a good take by Dowrich, diving to his left"
"<strong>bowled 'im</strong>! What a spell he's in. This one comes back in sharply after pitching, Mahmudullah looks to defend but it sneaks through between bat and pad, brushing the pad on its way before crashing into the stump"
"length ball, once again coming back after landing, Mehidy looks to defend, the ball hits the inner half and rolls towards short midwicket"
"length ball, goes back and punches it towards extra cover"
"a touch fuller this time, stays in his crease and pushes it towards covers"
"short of length, another backfoot punch towards covers"
"a touch fuller this time, leans into it and pushes it on the off side"
"back of length outside off, goes back and punches it towards long-off"
"length ball, comes forward and blocks"
"length ball outside off, driven on the up, the cover fielder makes a partial stop but the batsmen collect two"
"angling into the batsman this time, on the pads, tucked away towards square leg, Mehidy was looking for the second but was rightly sent back by his partner"
"length ball, on the pads once again, worked away fine leg"
"short of length, didn't bounce that much as Shakib blocks it from the crease"
"<strong>fourth wicket for Gabriel!</strong> Suddenly, Bangladesh are in danger of getting bowled out under 275. Was a length ball from around the wicket, Shakib looked to punch it on the up, got an inside edge that disturbed the bails on its way"
"length ball just outside off, defended from the crease"
"length ball, spinning down the leg side, tucked away towards square leg, some confusion regarding the second run and in the end, they settle for one"
"length ball, just around off, defended from the back foot"
"spinning back sharply this time, Nayeem pushes forward gets beaten and it hits him on the back elbow"
a touch fuller and defended on the off side
"short of length, flatter and quicker, goes back and block"
"once again some yes-no between the batsmen as Nayeem pushes this length ball towards point, no run taken in the end"
"back of length outside off, punched off the back foot towards point"
"short of length, Mehidy looks to defend on the back foot, the ball hits near the splice of the bat"
"another short one, Mehidy goes for the pull, gets some glove on to it, Dowrich goes full length to his left but the ball evades him"
"short of length outside off, looks to punch on the off side, mistimes it as the ball hits the inner half of the bat"
"length ball outside off, comes forward and presents the full face of the bat, not much power behind it, so would get only a couple"
"short of length, goes back, on the top of the bounce and cuts it towards extra cover"
"length ball, just around off, punches it down the wicket"
"big turn from outside off, kept low as well, a sign of things to come perhaps? Hits the batsman on the pads as he looks to cut, but would have gone down"
a touch fuller and turned away towards short midwicket
"similar line and length, pushes it in the same region again"
"a touch fuller outside off, defends it right under his eyes"
"length around off, works it on the leg side with the turn"
"fuller outside off, comes forward and defends"
"fuller on the pads, flicked away towards fine leg for one"
"pitched up once again, pushed towards covers from the front foot"
"<strong>in the air but in the gap as well</strong>, was short and wide and Mehidy goes for the cut, gets it past the point fielder for four, moves to 13 off 18 deliveries"
"fuller this time, comes forward and drives it towards sweeper cover"
"length, just around off, defended from the crease"
"length ball, down the leg side, tucks it towards short fine leg"
"length, just outside off, defended back towards the bowler"
"fuller outside off, leans forward and works it towards backward point"
"length outside off, stays back and blocks"
"length ball, just around off, defended again"
"length ball, around middle and leg, punched towards long-on"
"length outside off, playing away from the body as he looks to cut, chops it into the ground"
"fuller, angled in, comes forward and blocks"
"fuller again, looks to hit it on the up, mistimes it towards extra cover"
"pitched up in search of reverse swing, Nayeem comes forward and steers it towards covers"
"a solid defence from Mehidy, pitched up outside off, comes forward and blocks"
"back of length outside off, stays in the crease and defends once more"
"length around off stump, comes forward and blocks"
"a hint of turn, comes forward and blocks again"
"<b>beats the bat</b> this time, draws the batsman forward and beats the bat with turn"
"use of feet this time, reaches to the pitch of it and drives it towards mid-on"
"chipped uppishly towards covers, shouts of catch-it but away from the fielders"
"uppish once again, clears his front leg and looks to smash, falls short of extra cover"
"length ball, just outside off, defended on the front foot"
"bouncer this time, Mehidy goes for the hook and gets four to fine leg, don't think he was in full control of it"
"attacking the stumps this time, length, angling in, blocked"
"short of length outside off, some extra bounce there, Mehidy checks his shot and pushes it towards covers"
"on the pads this time, tucked away towards fine leg, scampers back for the second as the fielder from deep square leg comes in to field"
"length outside off, playing away from the body, steers it towards third man"
"<strong>bowled 'im</strong>! Pitching on leg and spinning sharply, Mehidy was looking to drive it, gets beaten and the ball hits the top of middle, that's the end of Mehidy"
"length outside off, comes forward and blocks"
"length again, Taijul looks to comes forward and blocks, the ball bounces and hits him the body"
"spinning back sharply this time, Taijul looks to glance it fine, misses and gets hit on the pads"
"length ball, big turn once more, turned away towards square leg"
"on the stumps this time, stays in the crease and blocks"
"starts with a generous full toss around off stump, hammers it past the bowler for four"
"fuller on the stumps, pushed towards short midwicket"
"tossed up on the stumps, tucked away towards square leg"
"goes for the sweep and misses, given immediately by Aleem Dar. Taijul reviews it, looks like some inside edge and there is that spike on the UltraEdge. Taijul survives"
"pitching down the leg side and spinning sharply, Taijul misses the flick"
"a proper connection this time on the sweep, gets a single to backward square leg"
"length ball, flicks it towards square leg but straight to the fielder"
"a touch fuller this time, defends it from the crease"
"tossed up around off, leans forward and blocks"
"length outside off, goes back and blocks"
"much slower in the air, Taijul reaches to the pitch and lofts it over the bowler's head, one bounce four"
"comes forward to defend, an inside edge onto the pads as the ball spins back"
"full at middle stump, steps out and drags it to midwicket"
"short at middle stump, backs away and punches it through midwicket"
"length outside off, defended off the inside half"
"length at middle stump, zips past the outside edge as he looks to defend on the front foot"
"full at off stump, blocked on the front foot"
"full on off stump, driven with the turn to long-off"
"length at middle stump, steps out and bat pads it, but this one loops wide to silly point's right"
"length at off stump, punched to mid-off off the back foot"
"length outside off, blocked with the turn"
"full on off stump, blocked on the front foot"
"length at off, defended on the front foot"
"length at leg stump, defended off the back foot"
"length at leg stump, defended into the pitch off the back foot"
"length at leg stump, defended to short leg off the back foot"
"full on leg stump, lobs up off the front pad as he looks to flick"
"length at leg stump, dead-batted into the pitch"
"<b>nails the slog</b> and sends it a long way over midwicket. Tossed up at off stump, front foot out of the way and a big swing"
"length at middle stump, defended off the back foot"
"length on leg stump, nudged to midwicket with soft hands"
"tossed up at off stump, driven with the turn to long-on"
"length at off stump, gets a stride in and chips it between bowler and mid-off. The fielder gives chase and just pulls it back in"
"full at middle stump, steps out and jams it back towards the bowler who parries it past the stumps"
